Name,Gender,Age,domain,courses did,skills,certificates or course,Interested,interested career preference,intrested company,Interested Type of Books,Management or Technical,hard/smart worker,Suggested Job Role,skills_norm
Isha Verma ,Female,21,software/technology,no,shell programming,system designing,parallel computing,developer,Cloud Services,Cookbooks,Management,hard worker,Technical Support,shell programming
Ishita Agrawal ,Female,22,software/technology,no,python,database security,data engineering,cloud computing,BPA,Science fiction,Technical,hard worker,Technical Support,python
Istuti tripathi ,Female,23,software/technology,yes,full stack,game development,Management,system developer,Testing and Maintainance Services,Science fiction,Technical,hard worker,Technical Support,full stack
Iwin ,Male,28,software/technology,no,r programming,game development,IOT,cloud computing,Cloud Services,History,Management,smart worker,Technical Support,programming
Jagadeesh,Male,32,software/technology,no,machine learning,data science,cloud computing,cloud computing,Cloud Services,Poetry,Management,smart worker,Technical Support,machine learning
Jagatheaswaran B,Female,24,software/technology,yes,r programming,cloud computing,cloud computing,developer,Sales and Marketing,Cookbooks,Technical,smart worker,Technical Support,programming
Jagdish Chobe,Male,26,software/technology,yes,shell programming,database security,Computer Architecture,testing,Cloud Services,Self help,Management,smart worker,Technical Support,shell programming
Jagdish Panda ,Male,30,software/technology,yes,machine learning,database security,cloud computing,developer,product development,Art,Management,hard worker,Technical Support,machine learning
JAGJITSINGH CHAVAN ,Male,27,software/technology,no,r programming,hacking,Computer Architecture,cloud computing,Product based,Horror,Management,smart worker,Technical Support,programming
Jalal Sayed Hasham,Male,35,software/technology,yes,information security,game development,Software Engineering,security,Service Based,Prayer books,Management,smart worker,Technical Support,information security
Janardhan Reddy Dondeti,Male,29,software/technology,no,full stack,data science,Software Engineering,security,Service Based,Action and Adventure,Management,smart worker,Technical Support,full stack
Jansirani. N,Female,31,software/technology,yes,full stack,web tech,excellent,data engineering,developer,yes,Fantasy,Management,Technical Support,full stack
jaswant singh,Male,33,software/technology,no,full stack,hacking,networks,testing,Finance,Anthology,Technical,hard worker,Technical Support,full stack
Jayasuriyaa,Male,40,software/technology,yes,hadoop,testing,hacking,security,product development,Science,Technical,hard worker,Technical Support,hadoop
Jayesh Sonagara,Male,22,software/technology,no,r programming,system designing,Management,Business process analyst,Cloud Services,Satire,Management,hard worker,Technical Support,programming
Jeeva Nagaraj ,Female,26,software/technology,yes,app development,system designing,data engineering,developer,SAaS services,Art,Management,smart worker,Technical Support,ios app development
Jenifer Z,Female,28,software/technology,yes,hadoop,hacking,Computer Architecture,cloud computing,Web Services,Satire,Technical,smart worker,Technical Support,hadoop
Jensiya A,Female,34,software/technology,yes,shell programming,system designing,cloud computing,cloud computing,Sales and Marketing,Self help,Technical,smart worker,Technical Support,shell programming
JITEN KUMAR BARIK ,Male,30,software/technology,yes,distro making,web tech,excellent,networks,developer,no,Math,Management,Technical Support,distro making
JITEN KUMAR BARIK ,Male,29,software/technology,yes,full stack,game development,IOT,cloud computing,Sales and Marketing,Encyclopedias,Technical,hard worker,Technical Support,full stack
JITEN KUMAR BARIK ,Male,25,software/technology,no,full stack,game development,hacking,system developer,product development,Horror,Technical,hard worker,Technical Support,full stack
Joseph Ashin Robert,Male,31,software/technology,no,distro making,hacking,programming,Business process analyst,Product based,Poetry,Management,hard worker,Technical Support,distro making
Joseph Ashin Robert ,Male,27,software/technology,yes,python,data science,IOT,developer,Product based,Mystery,Management,smart worker,Technical Support,python
Joyous Karottapuram,Male,24,software/technology,yes,hadoop,system designing,cloud computing,security,Finance,Journals,Management,hard worker,Technical Support,hadoop
Juaria Andalip,Female,28,software/technology,yes,hadoop,system designing,cloud computing,developer,SAaS services,Mystery,Technical,smart worker,Technical Support,hadoop
Julash Thangavel,Male,26,software/technology,yes,python,cloud computing,hacking,cloud computing,SAaS services,Action and Adventure,Management,smart worker,Technical Support,python
Jv Siva reddy,Male,32,software/technology,yes,shell programming,web tech,poor,hacking,security,no,Horror,Technical,Technical Support,shell programming
Jyothi Reddy,Male,35,software/technology,no,full stack,database security,data engineering,developer,Sales and Marketing,Religion-Spirituality,Technical,smart worker,Technical Support,full stack
Jyoti prakash sahoo,Male,29,software/technology,no,hadoop,system designing,programming,Business process analyst,Finance,Childrens,Management,hard worker,Technical Support,hadoop
Jyoti Raghav,Female,33,software/technology,yes,machine learning,game development,cloud computing,developer,Cloud Services,Biographies,Technical,smart worker,Technical Support,machine learning
K Madhu Babu Goud,Male,27,software/technology,no,r programming,system designing,programming,cloud computing,BPA,Autobiographies,Technical,hard worker,Technical Support,programming
K Sai Pravallika,Female,31,software/technology,yes,information security,database security,Software Engineering,testing,Finance,Dictionaries,Technical,hard worker,Technical Support,information security
K. E. Gayathri,Female,26,software/technology,yes,machine learning,hacking,cloud computing,security,Sales and Marketing,Travel,Technical,smart worker,Technical Support,machine learning
K.Babu Karuppaiah,Male,30,software/technology,yes,machine learning,hacking,networks,testing,BPA,Self help,Management,hard worker,Technical Support,machine learning
K.E.GAYATHRI,Female,24,software/technology,yes,hadoop,hacking,hacking,Business process analyst,Sales and Marketing,Satire,Technical,hard worker,Technical Support,hadoop
K.madan mohan,Male,28,software/technology,no,hadoop,hacking,data engineering,Business process analyst,Web Services,Guide,Management,smart worker,Technical Support,hadoop
K.v.s.sravani,Female,29,software/technology,no,distro making,game development,parallel computing,security,SAaS services,Horror,Management,hard worker,Technical Support,distro making
K.Vakula,Female,34,software/technology,no,full stack,database security,programming,system developer,Web Services,Series,Management,smart worker,Technical Support,full stack
KADAM OMKAR DEEPAK,Male,27,software/technology,yes,hadoop,web tech,excellent,Computer Architecture,system developer,yes,Autobiographies,Technical,Technical Support,hadoop
Kajal jaiswal,Female,30,software/technology,no,full stack,data science,Computer Architecture,testing,Product based,Anthology,Management,hard worker,Technical Support,full stack
Kajendran M,Male,32,software/technology,no,information security,cloud computing,cloud computing,cloud computing,BPA,Travel,Management,smart worker,Technical Support,information security
KAKANI SAI SUDHEER,Male,28,software/technology,no,app development,hacking,Computer Architecture,testing,Testing and Maintainance Services,Action and Adventure,Management,hard worker,Technical Support,ios app development
Kalpana,Female,25,software/technology,no,app development,system designing,Management,cloud computing,Web Services,Action and Adventure,Technical,smart worker,Technical Support,ios app development
Kalvakol gathrika,Female,33,software/technology,no,information security,database security,IOT,developer,Service Based,Childrens,Technical,hard worker,Technical Support,information security
Kalyan Mandla ,Male,26,software/technology,yes,app development,testing,cloud computing,testing,Product based,Series,Management,smart worker,Technical Support,ios app development
Kamakshi N ,Female,29,software/technology,yes,machine learning,cloud computing,Computer Architecture,security,Sales and Marketing,Religion-Spirituality,Management,hard worker,Technical Support,machine learning
Kamal Lochan Moharana,Male,27,software/technology,yes,hadoop,game development,Computer Architecture,cloud computing,Web Services,Guide,Technical,hard worker,Technical Support,hadoop
Kammo,Female,31,software/technology,no,shell programming,cloud computing,cloud computing,system developer,SAaS services,Anthology,Technical,hard worker,Technical Support,shell programming
Kanchana R Y,Female,28,software/technology,yes,python,data science,parallel computing,developer,Web Services,Series,Technical,hard worker,Technical Support,python
Kanimozhi k,Female,30,software/technology,no,distro making,database security,programming,security,BPA,Guide,Management,smart worker,Technical Support,distro making
Kanimozhi. S,Female,25,software/technology,no,app development,hacking,programming,Business process analyst,SAaS services,Autobiographies,Technical,hard worker,Technical Support,ios app development
Karan M,Male,33,software/technology,yes,app development,cloud computing,Software Engineering,system developer,Testing and Maintainance Services,Poetry,Management,hard worker,Technical Support,ios app development
Karthi M,Male,27,software/technology,yes,r programming,testing,parallel computing,security,Finance,Dictionaries,Management,hard worker,Technical Support,programming
karthik,Male,32,software/technology,no,distro making,hacking,Computer Architecture,Business process analyst,Product based,Mystery,Technical,smart worker,Technical Support,distro making
Karthikeyan ,Male,27,software/technology,no,machine learning,system designing,hacking,Business process analyst,Product based,Mystery,Technical,hard worker,Technical Support,machine learning
Karthikeyan M,Male,30,software/technology,yes,r programming,cloud computing,IOT,security,Finance,Poetry,Technical,smart worker,Technical Support,programming
Karthikeyan T,Male,26,software/technology,no,python,hacking,Management,system developer,SAaS services,Science fiction,Technical,smart worker,Technical Support,python
Kartik jaiswal ,Male,29,software/technology,yes,information security,cloud computing,Computer Architecture,system developer,Cloud Services,Health,Management,smart worker,Technical Support,information security
Kartik jaiswal ,Male,31,software/technology,yes,shell programming,testing,Management,developer,Testing and Maintainance Services,Self help,Technical,hard worker,Technical Support,shell programming
Kartik swain,Male,25,software/technology,no,r programming,web tech,excellent,parallel computing,developer,no,Science,Management,Technical Support,programming
karun,Male,34,software/technology,no,distro making,cloud computing,programming,developer,Cloud Services,Travel,Technical,smart worker,Technical Support,distro making
Karuna Singh ,Female,27,software/technology,yes,hadoop,system designing,Management,Business process analyst,Finance,Health,Technical,hard worker,Technical Support,hadoop
Kasim ali,Male,32,software/technology,no,information security,web tech,excellent,hacking,Business process analyst,yes,Mystery,Technical,Technical Support,information security
kausal kumar,Male,28,software/technology,yes,machine learning,system designing,hacking,cloud computing,Sales and Marketing,Health,Management,hard worker,Technical Support,machine learning
Kavin Kumar,Male,29,software/technology,yes,full stack,database security,programming,testing,product development,Art,Technical,smart worker,Technical Support,full stack
kavin surya ,Male,30,software/technology,yes,r programming,cloud computing,Software Engineering,system developer,Sales and Marketing,Prayer books,Management,hard worker,Technical Support,programming
Kavita ,Female,26,software/technology,yes,hadoop,database security,data engineering,Business process analyst,Service Based,Mystery,Technical,hard worker,Technical Support,hadoop
Kavu Sravan,Male,33,software/technology,yes,machine learning,database security,networks,Business process analyst,product development,Science fiction,Management,hard worker,Technical Support,machine learning
Kavya Tripathi,Female,27,software/technology,yes,hadoop,cloud computing,programming,cloud computing,Testing and Maintainance Services,Guide,Technical,smart worker,Technical Support,hadoop
Kavya Tripathi,Female,31,software/technology,no,app development,data science,data engineering,Business process analyst,product development,Health,Technical,hard worker,Technical Support,ios app development
Keertana Sarvani Tungaturthy,Male,29,software/technology,yes,machine learning,game development,Computer Architecture,Business process analyst,Testing and Maintainance Services,Horror,Management,hard worker,Technical Support,machine learning
Kevin Kumar Vijayakumar,Male,35,software/technology,yes,information security,cloud computing,Software Engineering,developer,Cloud Services,Dictionaries,Technical,hard worker,Technical Support,information security
Khadar pasha,Male,24,software/technology,yes,python,web tech,medium,Computer Architecture,developer,yes,Action and Adventure,Management,Technical Support,python
Khadim,Male,28,software/technology,yes,python,cloud computing,IOT,cloud computing,Finance,Prayer books,Technical,hard worker,Technical Support,python
Kiruthiga,Female,29,software/technology,yes,full stack,cloud computing,Computer Architecture,system developer,Product based,Health,Management,smart worker,Technical Support,full stack
Kisan kumar,Male,34,software/technology,yes,hadoop,testing,networks,cloud computing,BPA,Autobiographies,Management,hard worker,Technical Support,hadoop
Komal Wankhade ,Female,27,software/technology,no,python,testing,cloud computing,system developer,Web Services,Romance,Management,hard worker,Technical Support,python
Konatham veera venkata durga ,Female,30,software/technology,no,shell programming,data science,Software Engineering,testing,product development,Comics,Technical,hard worker,Technical Support,shell programming
Kondaka satish,Male,26,software/technology,yes,full stack,web tech,medium,cloud computing,testing,yes,Science,Technical,Technical Support,full stack
Kondaka satish,Male,28,software/technology,yes,distro making,hacking,parallel computing,system developer,Service Based,Comics,Technical,hard worker,Technical Support,distro making
Konkati Akhil,Male,25,software/technology,yes,hadoop,web tech,excellent,programming,testing,yes,Poetry,Management,Technical Support,hadoop
Kottur pooja ,Female,31,software/technology,no,r programming,system designing,networks,Business process analyst,Product based,Travel,Management,hard worker,Technical Support,programming
Kowshigan,Male,28,software/technology,yes,full stack,game development,cloud computing,system developer,Cloud Services,Self help,Management,hard worker,Technical Support,full stack
KP abhishek,Male,30,software/technology,no,information security,testing,programming,testing,SAaS services,Autobiographies,Technical,hard worker,Technical Support,information security
KP Surendara Siva,Male,27,software/technology,no,machine learning,system designing,Software Engineering,cloud computing,SAaS services,Cookbooks,Technical,hard worker,Technical Support,machine learning
Krishna Madhuri ,Female,29,software/technology,yes,information security,data science,cloud computing,cloud computing,BPA,Biographies,Technical,hard worker,Technical Support,information security
Krishna sakhare,Male,32,software/technology,yes,shell programming,hacking,Software Engineering,system developer,Product based,Diaries,Technical,smart worker,Technical Support,shell programming
Krishnaraj,Male,35,software/technology,no,hadoop,cloud computing,cloud computing,security,SAaS services,Diaries,Technical,smart worker,Technical Support,hadoop
Krusha Patel ,Male,29,software/technology,no,shell programming,hacking,networks,security,Service Based,Self help,Management,hard worker,Technical Support,shell programming
Kuldeep Nigam,Male,33,software/technology,no,shell programming,cloud computing,Management,system developer,Testing and Maintainance Services,Horror,Technical,hard worker,Technical Support,shell programming
Kunal Kapoor,Male,27,software/technology,no,r programming,web tech,poor,Management,cloud computing,yes,Journals,Management,Technical Support,programming
Kunta mahender ,Male,30,software/technology,no,hadoop,data science,parallel computing,cloud computing,Web Services,History,Management,smart worker,Technical Support,hadoop
L.Sirisha,Female,28,software/technology,yes,hadoop,data science,Computer Architecture,developer,product development,Satire,Technical,smart worker,Technical Support,hadoop
Laali ,Male,32,software/technology,no,shell programming,game development,Management,system developer,Testing and Maintainance Services,Autobiographies,Technical,hard worker,Technical Support,shell programming
Lahari Umesh ,Male,30,software/technology,yes,machine learning,database security,data engineering,cloud computing,Product based,Childrens,Technical,hard worker,Technical Support,machine learning
Lakhitha Devarajaiah,Male,26,software/technology,yes,shell programming,system designing,Software Engineering,cloud computing,product development,Self help,Management,hard worker,Technical Support,shell programming
Lakshmi,Female,28,software/technology,no,information security,database security,data engineering,Business process analyst,product development,Trilogy,Management,smart worker,Technical Support,information security
Lakshmi Venkata Kumar Kurasala,Male,35,software/technology,yes,distro making,system designing,parallel computing,security,product development,Journals,Technical,smart worker,Technical Support,distro making
Lakshmikandhan,Male,29,software/technology,yes,distro making,game development,networks,Business process analyst,Finance,Action and Adventure,Management,hard worker,Technical Support,distro making
Lalit Gorakh Shewale,Male,27,software/technology,yes,information security,game development,Software Engineering,system developer,Testing and Maintainance Services,Poetry,Management,hard worker,Technical Support,information security
lata,Female,31,software/technology,no,information security,game development,parallel computing,Business process analyst,Testing and Maintainance Services,Encyclopedias,Technical,smart worker,Technical Support,information security
Lavanya,Female,40,software/technology,no,distro making,web tech,excellent,Software Engineering,developer,no,Science,Management,Technical Support,distro making
Lavish Isasare,Male,22,software/technology,no,python,testing,hacking,developer,Sales and Marketing,Health,Technical,smart worker,Technical Support,python
Lebaka Manideep Reddy,Male,23,software/technology,no,full stack,testing,data engineering,cloud computing,Sales and Marketing,Childrens,Management,smart worker,Technical Support,full stack
Leela,Female,24,software/technology,no,hadoop,data science,Computer Architecture,developer,product development,Math,Technical,smart worker,Technical Support,hadoop
Lekha Ranpise,Female,25,software/technology,yes,r programming,hacking,Computer Architecture,testing,Finance,Diaries,Management,hard worker,Technical Support,programming
Lijesh,Male,26,software/technology,yes,app development,database security,programming,system developer,Web Services,Self help,Management,smart worker,Technical Support,ios app development
Lingaraj Mohanty,Male,27,software/technology,yes,information security,cloud computing,networks,system developer,BPA,Mystery,Management,hard worker,Technical Support,information security
Lipika Pattanayak,Female,28,software/technology,no,hadoop,system designing,parallel computing,developer,Sales and Marketing,Guide,Technical,smart worker,Technical Support,hadoop
Lisa Mary Kuruvila ,Female,29,software/technology,no,distro making,system designing,networks,cloud computing,Sales and Marketing,Travel,Management,smart worker,Technical Support,distro making
Lishakar j,Male,30,software/technology,no,r programming,database security,hacking,cloud computing,Sales and Marketing,Mystery,Technical,hard worker,Technical Support,programming
LIVINKUMAR S,Male,31,software/technology,yes,full stack,hacking,hacking,security,Service Based,Science,Technical,smart worker,Technical Support,full stack
Liza Naik,Female,32,software/technology,yes,r programming,database security,networks,developer,Testing and Maintainance Services,Horror,Management,hard worker,Technical Support,programming
Loganathan p,Male,33,software/technology,no,app development,system designing,data engineering,cloud computing,Sales and Marketing,Art,Technical,hard worker,Technical Support,ios app development
Lokesh rR,Male,34,software/technology,no,machine learning,web tech,medium,hacking,cloud computing,yes,Anthology,Management,Technical Support,machine learning
Lyon,Male,35,software/technology,no,information security,web tech,poor,parallel computing,cloud computing,yes,Cookbooks,Technical,Technical Support,information security
M Hari babu,Male,36,software/technology,yes,python,game development,data engineering,cloud computing,Cloud Services,Diaries,Management,hard worker,Technical Support,python
M Hari krishna,Male,37,software/technology,yes,information security,testing,data engineering,system developer,Testing and Maintainance Services,Religion-Spirituality,Technical,smart worker,Technical Support,information security
M Vijay Kumar,Male,38,software/technology,yes,hadoop,testing,cloud computing,system developer,Service Based,Poetry,Technical,smart worker,Technical Support,hadoop
M. Satishuday,Male,39,software/technology,yes,r programming,testing,parallel computing,developer,Product based,Fantasy,Technical,smart worker,Technical Support,programming
M.Akhila,Female,40,software/technology,no,hadoop,data science,Computer Architecture,testing,BPA,Comics,Management,smart worker,Technical Support,hadoop
M.Anvesh,Male,41,software/technology,yes,information security,web tech,excellent,Computer Architecture,testing,yes,History,Management,Technical Support,information security
M.Geetha sree,Female,22,software/technology,no,hadoop,game development,networks,testing,BPA,Science,Management,hard worker,Technical Support,hadoop
M.Hemanth,Male,23,software/technology,no,full stack,data science,parallel computing,security,Service Based,Science,Management,smart worker,Technical Support,full stack
M.Rajasekhar Reddy,Male,24,software/technology,no,app development,system designing,cloud computing,system developer,Testing and Maintainance Services,Health,Management,smart worker,Technical Support,ios app development
M.Sowrya,Male,25,software/technology,yes,shell programming,database security,networks,testing,SAaS services,Health,Management,hard worker,Technical Support,shell programming
Madan Rajput,Male,26,software/technology,yes,full stack,cloud computing,networks,testing,Sales and Marketing,Self help,Technical,smart worker,Technical Support,full stack
Madhumita S,Female,27,software/technology,no,python,hacking,IOT,developer,Product based,Self help,Management,smart worker,Technical Support,python
Madhumitha,Female,28,software/technology,no,information security,web tech,poor,Management,security,yes,Romance,Technical,Technical Support,information security
Mahammad Rizwan ,Male,29,software/technology,no,full stack,data science,programming,testing,BPA,Satire,Management,hard worker,Technical Support,full stack
Mahendra Gholap,Male,30,software/technology,yes,r programming,database security,Software Engineering,developer,Testing and Maintainance Services,Science fiction,Management,hard worker,Technical Support,programming
Mahesh,Male,31,software/technology,yes,r programming,game development,hacking,testing,product development,Self help,Technical,smart worker,Technical Support,programming
Mahima Gupta,Female,32,software/technology,no,machine learning,system designing,programming,security,Product based,History,Management,smart worker,Technical Support,machine learning
Mahmoud Muhizuddin,Male,23,software/technology,yes,shell programming,database security,data engineering,developer,Sales and Marketing,Comics,Management,smart worker,Technical Support,shell programming
Mahmoud Muhizuddin ,Male,34,software/technology,no,distro making,database security,networks,cloud computing,Web Services,Horror,Management,hard worker,Technical Support,distro making
Makarand Kawale,Male,35,software/technology,no,hadoop,hacking,cloud computing,testing,SAaS services,Encyclopedias,Management,smart worker,Technical Support,hadoop
Malarvizhi. S,Female,36,software/technology,no,machine learning,game development,IOT,security,Web Services,Prayer books,Management,hard worker,Technical Support,machine learning
Malavika,Female,37,software/technology,no,hadoop,system designing,programming,system developer,BPA,Guide,Technical,smart worker,Technical Support,hadoop
Malaya sahoo,Male,38,software/technology,yes,distro making,cloud computing,programming,cloud computing,SAaS services,Biographies,Management,smart worker,Technical Support,distro making
Malhar Prasad Ray ,Male,39,software/technology,yes,shell programming,testing,programming,system developer,Service Based,Comics,Technical,hard worker,Technical Support,shell programming
Malini ,Female,40,software/technology,yes,app development,system designing,data engineering,system developer,Finance,Dictionaries,Technical,hard worker,Technical Support,ios app development
Malini. R,Female,41,software/technology,no,shell programming,game development,Software Engineering,security,Service Based,Health,Technical,hard worker,Technical Support,shell programming
Mallika Mali,Female,22,software/technology,yes,distro making,game development,hacking,Business process analyst,SAaS services,Guide,Technical,hard worker,Technical Support,distro making
Mallu Durga Mahesh Reddy,Male,23,software/technology,no,machine learning,cloud computing,IOT,testing,product development,Satire,Technical,hard worker,Technical Support,machine learning
Malti Vidhale,Female,24,software/technology,no,r programming,game development,hacking,cloud computing,BPA,Science,Technical,hard worker,Technical Support,programming
Malvika R,Female,25,software/technology,yes,machine learning,game development,networks,security,Sales and Marketing,Cookbooks,Technical,smart worker,Technical Support,machine learning
Mamatha Nenavath ,Female,26,software/technology,no,full stack,system designing,Computer Architecture,developer,SAaS services,History,Technical,hard worker,Technical Support,full stack
Mamidala Raju,Male,27,software/technology,no,shell programming,testing,networks,system developer,product development,Romance,Management,smart worker,Technical Support,shell programming
Mamidala Rani,Female,28,software/technology,yes,machine learning,system designing,data engineering,Business process analyst,SAaS services,Autobiographies,Management,smart worker,Technical Support,machine learning
Mamidala saikumar,Male,29,software/technology,no,python,system designing,IOT,cloud computing,Web Services,History,Management,hard worker,Technical Support,python
Manali Paul,Female,30,software/technology,yes,full stack,hacking,hacking,system developer,Testing and Maintainance Services,Horror,Technical,smart worker,Technical Support,full stack
Manas,Male,31,software/technology,yes,information security,database security,Management,testing,BPA,Cookbooks,Management,smart worker,Technical Support,information security
Manas Jyoti Das,Female,32,software/technology,no,full stack,database security,cloud computing,Business process analyst,Sales and Marketing,Encyclopedias,Technical,hard worker,Technical Support,full stack
Manas Jyoti Das,Male,23,software/technology,no,app development,game development,networks,Business process analyst,Product based,Comics,Management,hard worker,Technical Support,ios app development
Manasi B Nagare ,Female,24,software/technology,no,hadoop,database security,programming,testing,product development,Series,Technical,hard worker,Technical Support,hadoop
Manaswi Gowravajhala,Male,25,software/technology,yes,python,data science,networks,system developer,SAaS services,Trilogy,Management,smart worker,Technical Support,python
Mandar ,Male,26,software/technology,no,hadoop,database security,programming,developer,Cloud Services,Health,Management,smart worker,Technical Support,hadoop
Mandar Suresh Surve,Male,37,software/technology,yes,shell programming,system designing,Computer Architecture,system developer,Sales and Marketing,Fantasy,Management,smart worker,Technical Support,shell programming
Mandar Suresh Surve,Male,38,software/technology,yes,app development,data science,hacking,testing,Web Services,Art,Management,hard worker,Technical Support,ios app development
Mandar Suresh Surve,Male,39,software/technology,yes,app development,cloud computing,IOT,developer,product development,Prayer books,Technical,smart worker,Technical Support,ios app development
Mani Rathinam R,Male,40,software/technology,yes,shell programming,system designing,IOT,developer,Product based,Series,Technical,hard worker,Technical Support,shell programming
Manikanda Prabhu Jagannathan ,Male,41,software/technology,yes,distro making,hacking,networks,security,BPA,Comics,Management,hard worker,Technical Support,distro making
Manikandaprabhu K,Male,22,software/technology,yes,information security,hacking,Software Engineering,testing,SAaS services,Science,Management,smart worker,Technical Support,information security
Manikanta,Male,23,software/technology,no,app development,database security,programming,testing,BPA,Self help,Technical,smart worker,Technical Support,ios app development
Manimegalai.S,Female,24,software/technology,yes,app development,system designing,programming,testing,Service Based,Trilogy,Technical,smart worker,Technical Support,ios app development
Manish,Male,25,software/technology,no,machine learning,web tech,poor,hacking,security,no,Satire,Technical,Technical Support,machine learning
Manish Kannojiya,Male,26,software/technology,yes,shell programming,testing,IOT,developer,Web Services,Journals,Technical,smart worker,Technical Support,shell programming
Manisha,Female,27,software/technology,no,python,system designing,cloud computing,developer,Web Services,Encyclopedias,Technical,smart worker,Technical Support,python
Manisha Revansidha Goudgaon ,Female,28,software/technology,yes,distro making,data science,cloud computing,system developer,Testing and Maintainance Services,Cookbooks,Management,hard worker,Technical Support,distro making
Manita Maharana ,Female,29,software/technology,no,r programming,game development,Computer Architecture,testing,product development,Series,Technical,hard worker,Technical Support,programming
Manju Allise,Female,30,software/technology,yes,machine learning,database security,Computer Architecture,security,Product based,Health,Technical,smart worker,Technical Support,machine learning
Manju Ravi,Female,31,software/technology,no,app development,web tech,poor,data engineering,cloud computing,yes,History,Management,Technical Support,ios app development
Manjula sowndarya ,Female,32,software/technology,no,shell programming,system designing,Software Engineering,developer,Finance,Science fiction,Management,smart worker,Technical Support,shell programming
Manjunath D N,Male,33,software/technology,no,app development,cloud computing,hacking,cloud computing,BPA,History,Management,hard worker,Technical Support,ios app development
Manohar Gaddam ,Male,34,software/technology,no,machine learning,cloud computing,Computer Architecture,system developer,Cloud Services,History,Management,hard worker,Technical Support,machine learning
Manoj,Male,35,software/technology,no,full stack,system designing,programming,security,Sales and Marketing,Anthology,Management,smart worker,Technical Support,full stack
Manoj kumar BH,Male,36,software/technology,no,shell programming,game development,Software Engineering,Business process analyst,Web Services,Health,Management,smart worker,Technical Support,shell programming
Manojkumar,Male,37,software/technology,yes,hadoop,game development,Computer Architecture,security,SAaS services,Health,Technical,hard worker,Technical Support,hadoop
Manpreet Singh Digwa,Male,38,software/technology,no,distro making,web tech,medium,Computer Architecture,cloud computing,no,Cookbooks,Management,Technical Support,distro making
Mansur ali,Male,39,software/technology,yes,python,cloud computing,Management,system developer,product development,Poetry,Management,hard worker,Technical Support,python
Manvi jaiswal,Female,40,software/technology,no,app development,hacking,Computer Architecture,developer,Service Based,Guide,Management,hard worker,Technical Support,ios app development
Mary,Female,41,software/technology,no,python,cloud computing,IOT,cloud computing,product development,Health,Technical,hard worker,Technical Support,python
Mashetti sandeep ,Male,22,software/technology,no,information security,system designing,parallel computing,developer,Product based,Autobiographies,Management,smart worker,Technical Support,information security
MASNA CHERUMADATHIL MADHARI,Female,23,software/technology,no,python,database security,cloud computing,developer,Service Based,Fantasy,Management,smart worker,Technical Support,python
Masthan khan patan ,Male,24,software/technology,no,distro making,web tech,medium,Software Engineering,testing,no,Self help,Technical,Technical Support,distro making
Mathilda Lewis,Female,25,software/technology,yes,distro making,system designing,IOT,system developer,Web Services,Science fiction,Management,smart worker,Technical Support,distro making
Mathumitha,Female,26,software/technology,yes,machine learning,web tech,poor,Management,system developer,no,Self help,Technical,Technical Support,machine learning
Matushree,Female,27,software/technology,no,shell programming,testing,Computer Architecture,security,Testing and Maintainance Services,Dictionaries,Management,smart worker,Technical Support,shell programming
Mayank Sharma,Male,28,software/technology,no,information security,database security,cloud computing,security,Service Based,Health,Management,smart worker,Technical Support,information security
Mayur Dhingra,Male,29,software/technology,yes,r programming,hacking,cloud computing,developer,Finance,Cookbooks,Technical,hard worker,Technical Support,programming
MD BASHA ZAMA KHAN,Male,30,software/technology,yes,machine learning,system designing,IOT,security,Product based,Math,Management,hard worker,Technical Support,machine learning
MD NADEEM ANSARI,Male,31,software/technology,yes,python,web tech,poor,data engineering,security,no,Health,Technical,Technical Support,python
Md Shahnawaz Sheikh,Male,32,software/technology,no,machine learning,testing,cloud computing,security,Service Based,Trilogy,Management,hard worker,Technical Support,machine learning
Meenakshi,Female,33,software/technology,no,shell programming,game development,Management,developer,SAaS services,Horror,Technical,smart worker,Technical Support,shell programming
Meenakshi Mishra,Female,34,software/technology,no,shell programming,database security,data engineering,cloud computing,Sales and Marketing,Drama,Technical,hard worker,Technical Support,shell programming
Meenavaishali.R,Female,35,software/technology,no,app development,system designing,Management,security,Product based,Autobiographies,Technical,smart worker,Technical Support,ios app development
Megha Daga ,Female,36,software/technology,no,machine learning,database security,Computer Architecture,security,product development,Biographies,Management,hard worker,Technical Support,machine learning
Mehak Suri,Female,37,software/technology,no,distro making,testing,data engineering,developer,Product based,Action and Adventure,Management,hard worker,Technical Support,distro making
Minakshee Donode,Female,38,software/technology,yes,hadoop,cloud computing,networks,testing,Finance,Drama,Management,smart worker,Technical Support,hadoop
Moganambhigai R,Female,39,software/technology,no,shell programming,testing,Management,system developer,Product based,Prayer books,Management,smart worker,Technical Support,shell programming
Mohammad Afnanuddin,Male,40,software/technology,no,python,hacking,data engineering,security,SAaS services,Poetry,Technical,smart worker,Technical Support,python
MOHAMMAD FAZIL,Male,41,software/technology,yes,python,web tech,excellent,Management,testing,yes,Journals,Management,Technical Support,python
Mohammad Hussain Khan,Male,22,software/technology,yes,app development,cloud computing,hacking,cloud computing,Product based,Self help,Management,hard worker,Technical Support,ios app development
Mohammad Runna sheikh,Male,21,software/technology,no,distro making,database security,cloud computing,system developer,Product based,Dictionaries,Technical,smart worker,Technical Support,distro making
Mohammad sarfaraz,Male,20,software/technology,yes,full stack,data science,Software Engineering,system developer,product development,Trilogy,Management,smart worker,Technical Support,full stack
